name,address,phone,osnovan,col
ЛД «Спутник»,г. Агрыз ул. Карла Маркса  д. 103б,+7 (8555) 2-34-20,07.02.2008,350
Ледовый дворец спорта «Алтын алка»,"г. Азнакаево ул. М. Султангалиева, 21а",+7 (85592)7-30-56,08.12.2004,1156
МУ Ледовый дворец спорта «Лачын»,с. Актаныш ул.Аэропортовская д. 2А,8 (5552) 3-26-02,25.12.2005,1000
Ледовый стадион «Нефтяник»,"г. Альметьевск ул. Белоглазова, 60А",+7 (8553)38-00-18,22.10.1967,432
ДС «Юбилейный»,"г. Альметьевск ул. Белоглазова, 60",+7 (8553)32-49-83,01.12.1983,2200
ЛДС «Алтын Алка»,"пгт. Апастово ул. Красноармейская, д. 65 В",8 (84376) 2-26-25,12.10.2012,298
ЛДС «Арча Арена»,г. Арск ул. Сибирский тракт дом 14 А,8 (84366) 3-57-04,01.09.2015,292
ЛДС «Девон»,г. Бавлы ул. С.Сайдашева д. 8.,+7 (85569) 4-09-61,12.10.2007,1000
Спортивный комплекс «Нарат»,"пгт. Богатые Сабы ул. Автозаправочная 1, пос. Лесхоз",8 (84362) 4-41-76,01.12.2004,300
Ледовый дворец,"г. Бугульма ул. Мусы Джалиля, д. 1",+7 (85594)6-23-37,05.09.2003,1200
ЛДС «Арктика»,г. Буинск ул. Ефремова д.128,8 (84374) 3-55-84,01.03.2007,500
ЛДС «Биектау»,"с. Высокая гора ул. Центральная, д.1Б",8(84365)3-29-84/85,02.09.2013,400
"Центр детского хоккея, ледовый дворец спорта","пгт. Джалиль ул. Лесная, 12",+7 (8555) 963-0-29,26.08.2001,1016
Ледовый Дворец,"г. Елабуга ул. Тази Гиззата, 27",8 (85557) 3-43-32,01.09.2005,1370
ЛДС «Яшьлек»,"г. Заинск пр.Победы, д.36",8 (85558) 7-41-56,27.08.2009,1000
ЛДС «Ледокол»,г. Зеленодольск ул. Проспект Строителей д. 21,8(843715)3-34-08,09.01.2008,840
Ледовый дворец спорта «Золотая Шайба»,"г. Казань ул. Гаврилова, д 48а",8 (843) 223-08-45,09.10.2015,200
МУ «Спортивно-оздоровительный комплекс «Форвард»,"г. Казань ул. Химиков, д.40",8 (843) 269 - 13 - 64,21.12.2009,300
МУ «Спортивно-оздоровительный комплекс «Триумф»,г. Казань ул. Олега Кошевого д.17,8 (843) 562-06-44,21.12.2009,306
МУ Спортивно-оздоровительный комплекс «Ватан»,"г. Казань ул. Чуйкова, д 8 г.",8 (843) 562-06-50,05.05.2010,300
ЛДС «Баско»,г. Казань ул. Халтурина д.3,8 (843) 237-74-03,30.08.2008,270
ЛДС «Ак Буре»,г. Казань ул. Вагапова д.17,8 (843) 276-60-19,01.08.2005,0
МОУ ДОД ДЮСШ «Зилант»,г. Казань ул. Хусаина Мавлютова д.17в,8 (843) 224-23-22,22.10.2009,1000
ЛДС «Олимпия»,пгт. Камские Поляны ул. Садовая д.14,8 (8555)33-95-11,30.07.2008,300
ЛДС «ОЛИМП»,"г. Кукмор ул.Ленина, д.37Б",8 (84364) 2-62-35,17.01.2009,236
Лаишево Арена,г. Лаишево г. Лаишево ул. Есенина д.2,,16.12.2020,
МУ «ЛДС»,г. Лениногорск ул. Лыжная д. 22,+7 (85595) 2-02-58,01.09.1997,800
ЛДС «Олимп»,"г. Мамадыш ул. Мира, д.15 б.",8 (85563) 3-91-29,01.12.2005,1000
ЛДС «Айсберг»,"г. Менделеевск ул. Татарстана, д. 1Б",8 (85549) 2-02-05,01.03.2011,238
ЛДС «Юность»,"г. Мензелинск ул. Изыскателей, д. 4/1",8 (8555) 3-37-39,07.12.2007,400
Ледовый Дворец Спорта,"г. Набережные Челны пр. Сююмбике, д. 44",8 (8552) 57-34-80,01.09.2004,1500
Малый ледовый дворец «Нефтехимик»,"г. Нижнекамск ул.30 лет Победы,8а",+7 (8555) 39-20-25,01.04.1989,2500
МУ ЛДС «Ледок»,"г. Нурлат ул. Гиматдинова, д. 97",8 (84345) 2-92-74,25.08.2006,1067
ЛДС «Пестрецы – Арена»,"с. Пестрецы ул.Казанская, д.13а",8 (84367)3-04-54,08.08.2012,230
Слобода-Арена,"пгт. Рыбная Слобода Рыбно-Слободский муниципальный район, пгт Рыбная Слобода, ул. Сююмбике, д. 20А","88436120434, +79172966860, +79196263441",16.12.2020,
Тюлячи-арена,"с. Тюлячи РТ.,  Тюлячинский район, с.Тюлячи, ул. Олимпийская , д.1",,17.11.2017,70
ЛДС «Юбилейный»,"с. Черемшан ул. Техническая, д. 1а",8 (84396) 2-26-84,26.08.2008,1000
ЛДС «Чистополь»,"г. Чистополь ул. Вотякова, д.23",8 (84342) 5-91-54,23.11.2007,1006
